Impl, Trial: , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, mean
chpl, ./bin/step_11-nl1--nx=100--ny=100--x_len=4--y_len=4, 1.94069, 2.20050, 2.20849, 2.14064, 2.09666, 2.20448, 2.19263, 2.17269, 1.99265, 1.94854, 2.10980
py, ./bin/step_11-nl1--nx=100--ny=100--x_len=4--y_len=4, 3.35319, 3.14118, 3.28918, 3.34916, 3.30918, 3.31720, 3.28120, 3.35719, 3.26519, 3.07321, 3.27359
chpl, ./bin/step_11-nl1--nx=150--ny=150--x_len=6--y_len=6, 2.25000, 2.36212, 2.50450, 2.50746, 2.50128, 2.20607, 2.50997, 2.52182, 2.47793, 2.54602, 2.43872
py, ./bin/step_11-nl1--nx=150--ny=150--x_len=6--y_len=6, 7.87843, 7.64257, 7.95839, 7.98636, 7.95846, 7.99031, 7.64260, 7.94641, 7.86644, 7.83849, 7.87085
chpl, ./bin/step_11-nl1--nx=200--ny=200--x_len=8--y_len=8, 2.86902, 3.14483, 3.21299, 3.15286, 3.18095, 2.98906, 3.14083, 3.12886, 3.11288, 3.13678, 3.10690
py, ./bin/step_11-nl1--nx=200--ny=200--x_len=8--y_len=8, 13.48429, 13.26024, 12.84032, 13.76826, 13.08820, 13.25624, 13.22824, 13.07225, 12.92021, 13.34421, 13.22625
chpl, ./bin/step_11-nl1--nx=400--ny=400--x_len=16--y_len=16, 7.17650, 7.29659, 7.11247, 6.90870, 7.01666, 6.97670, 7.38056, 7.09260, 7.24464, 6.80063, 7.10060
py, ./bin/step_11-nl1--nx=400--ny=400--x_len=16--y_len=16, 51.01949, 50.87545, 52.25549, 50.82746, 51.86750, 50.72752, 51.11552, 50.84681, 50.73145, 50.41549, 51.06822
chpl, ./bin/step_11-nl1--nx=800--ny=800--x_len=32--y_len=32, 23.47978, 23.00387, 22.61593, 22.75588, 22.30457, 23.38385, 23.57565, 23.52380, 23.45180, 23.31996, 23.14151
py, ./bin/step_11-nl1--nx=800--ny=800--x_len=32--y_len=32, 196.75651, 194.36050, 196.96854, 199.42449, 193.61649, 198.56453, 198.88054, 196.11650, 197.66852, 193.90450, 196.62611
chpl, ./bin/step_11-nl1--nx=1600--ny=1600--x_len=64--y_len=64, 124.41255, 126.35027, 129.27826, 126.09435, 125.97032, 127.08149, 125.33033, 127.22625, 126.58236, 125.05036, 126.33765
py, ./bin/step_11-nl1--nx=1600--ny=1600--x_len=64--y_len=64, 1132.46275, 1123.83073, 1118.63468, 1140.09473, 1137.09067, 1121.29068, 1143.82279, 1264.48267, 1126.49873, 1124.13866, 1143.23471
